Place,Viewpoint,Entry Ticket (₹),Hotel Name,Budget Category,Hotel Cost Per Night (₹),Restaurant Name,Avg Bill (₹),Menu Dishes,Dish Prices (₹)
Agra,Itimad-ud-Daulah's Tomb,150.0,ITC Mughal,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Agra Fort,200.0,ITC Mughal,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Itimad-ud-Daulah's Tomb,150.0,The Oberoi Amarvilas,Budget,800,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Agra,Fatehpur Sikri,100.0,ITC Mughal,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Agra Fort,200.0,Hotel Taj Resorts,Luxury,2500,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Akbar's Tomb,200.0,ITC Mughal,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Mehtab Bagh,150.0,The Oberoi Amarvilas,Budget,800,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Fatehpur Sikri,100.0,ITC Mughal,Budget,800,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Fatehpur Sikri,100.0,Hotel Taj Resorts,Luxury,2500,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Mehtab Bagh,150.0,Hotel Taj Resorts,Luxury,2500,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Mehtab Bagh,150.0,Hotel Taj Resorts,Luxury,2500,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Agra,Agra Fort,200.0,ITC Mughal,Budget,800,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Agra,Fatehpur Sikri,100.0,Hotel Taj Resorts,Luxury,2500,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Agra,Akbar's Tomb,200.0,ITC Mughal,Budget,800,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Fatehpur Sikri,100.0,The Oberoi Amarvilas,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Taj Mahal,150.0,ITC Mughal,Budget,800,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Agra Fort,200.0,Hotel Taj Resorts,Luxury,2500,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Agra,Akbar's Tomb,200.0,Hotel Taj Resorts,Luxury,2500,Pinch of Spice,595.0,"Biryani, Roti, Paratha","230, 230, 142"
Agra,Taj Mahal,150.0,ITC Mughal,Budget,800,Peshawri,503.0,"Dosa, Paratha, Paneer Butter Masala","215, 252, 223"
Agra,Akbar's Tomb,200.0,The Oberoi Amarvilas,Budget,800,Esphahan,629.0,"Idli, Poha, Thali","113, 283, 127"
Varanasi,Kashi Vishwanath Temple,150.0,BrijRama Palace,Mid-range,1500,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Dashashwamedh Ghat,150.0,BrijRama Palace,Mid-range,1500,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
Varanasi,Kashi Vishwanath Temple,150.0,Hotel Alka,Budget,800,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Varanasi,Dashashwamedh Ghat,150.0,Taj Ganges,Budget,800,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Varanasi,Kashi Vishwanath Temple,150.0,Hotel Alka,Budget,800,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
Varanasi,Assi Ghat,150.0,Hotel Alka,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Kashi Vishwanath Temple,150.0,Taj Ganges,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Kashi Vishwanath Temple,150.0,Taj Ganges,Budget,800,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
Varanasi,Dashashwamedh Ghat,150.0,Hotel Alka,Budget,800,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Varanasi,Assi Ghat,150.0,Taj Ganges,Budget,800,Shree Cafe,625.0,"Poha, Fish Curry, Paneer Butter Masala","146, 85, 274"
Varanasi,Dashashwamedh Ghat,150.0,Hotel Alka,Budget,800,Aum Cafe,418.0,"Biryani, Paneer Butter Masala, Momos","272, 219, 267"
Varanasi,Assi Ghat,150.0,Taj Ganges,Budget,800,Brown Bread Bakery,380.0,"Poha, Thali, Momos","180, 107, 114"
